Internal time (s),Coordinate time (s)
60, 59.9999999732
120, 119.9999999465
180, 179.9999999197
240, 239.9999998929
300, 299.9999998662
360, 359.9999998394
420, 419.9999998126
480, 479.9999997858
540, 539.9999997591
600, 599.9999997323
660, 659.9999997055
720, 719.9999996788
780, 779.9999996520
840, 839.9999996252
900, 899.9999995985
960, 959.9999995717
1020, 1019.9999995449
1080, 1079.9999995181
1140, 1139.9999994914
1200, 1199.9999994646
1260, 1259.9999994378
1320, 1319.9999994111
1380, 1379.9999993843
1440, 1439.9999993575
1500, 1499.9999993307
1560, 1559.9999993040
1620, 1619.9999992772
1680, 1679.9999992504
1740, 1739.9999992237
1800, 1799.9999991969
1860, 1859.9999991701
1920, 1919.9999991434
1980, 1979.9999991166
2040, 2039.9999990898
2100, 2099.9999990630
2160, 2159.9999990363
2220, 2219.9999990095
2280, 2279.9999989828
2340, 2339.9999989560
2400, 2399.9999989292
2460, 2459.9999989025
2520, 2519.9999988757
2580, 2579.9999988490
2640, 2639.9999988222
2700, 2699.9999987954
2760, 2759.9999987687
2820, 2819.9999987419
2880, 2879.9999987152
2940, 2939.9999986884
3000, 2999.9999986616
3060, 3059.9999986349
3120, 3119.9999986081
3180, 3179.9999985814
3240, 3239.9999985546
3300, 3299.9999985278
3360, 3359.9999985011
3420, 3419.9999984743
3480, 3479.9999984476
3540, 3539.9999984208
3600, 3599.9999983940
3660, 3659.9999983673
3720, 3719.9999983405
3780, 3779.9999983138
3840, 3839.9999982870
3900, 3899.9999982602
3960, 3959.9999982335
4020, 4019.9999982067
4080, 4079.9999981800
4140, 4139.9999981532
4200, 4199.9999981264
4260, 4259.9999980997
4320, 4319.9999980729
4380, 4379.9999980462
4440, 4439.9999980194
4500, 4499.9999979926
4560, 4559.9999979659
4620, 4619.9999979391
4680, 4679.9999979124
4740, 4739.9999978856
4800, 4799.9999978588
4860, 4859.9999978321
4920, 4919.9999978053
4980, 4979.9999977786
5040, 5039.9999977518
5100, 5099.9999977250
5160, 5159.9999976983
5220, 5219.9999976715
5280, 5279.9999976448
5340, 5339.9999976180
5400, 5399.9999975912
5460, 5459.9999975645
5520, 5519.9999975377
5580, 5579.9999975110
5640, 5639.9999974842
5700, 5699.9999974574
5760, 5759.9999974307
5820, 5819.9999974039
5880, 5879.9999973772
5940, 5939.9999973504
6000, 5999.9999973236
6060, 6059.9999972969
6120, 6119.9999972701
6180, 6179.9999972434
6240, 6239.9999972166
6300, 6299.9999971898
6360, 6359.9999971631
6420, 6419.9999971363
6480, 6479.9999971096
6540, 6539.9999970828
6600, 6599.9999970560
6660, 6659.9999970293
