Internal time (s),Coordinate time (s)
3600, 3599.9999983938
7200, 7199.9999967880
10800, 10799.9999951822
14400, 14399.9999935759
18000, 17999.9999919691
21600, 21599.9999903617
25200, 25199.9999887537
28800, 28799.9999871452
32400, 32399.9999855365
36000, 35999.9999839279
39600, 39599.9999823199
43200, 43199.9999807129
46800, 46799.9999791066
50400, 50399.9999775009
54000, 53999.9999758951
57600, 57599.9999742889
61200, 61199.9999726820
64800, 64799.9999710746
68400, 68399.9999694666
72000, 71999.9999678581
75600, 75599.9999662493
79200, 79199.9999646407
82800, 82799.9999630326
86400, 86399.9999614255
